Index: 1, Salutary Label: 1, Ground Truth: 1, Influence Score: -9.640733878768515e-06
Index: 1521, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.23475496470928192
Index: 1530, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.021550806239247322
Index: 1548, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.03304777294397354
Index: 1571, Salutary Label: 1, Ground Truth: 1, Influence Score: 6.327924728393555
Index: 1589, Salutary Label: 9, Ground Truth: 2, Influence Score: 1992018.25
Index: 1607, Salutary Label: 7, Ground Truth: 7, Influence Score: 246645.625
Index: 1640, Salutary Label: 0, Ground Truth: 0, Influence Score: 43.77968215942383
Index: 1650, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.027077678591012955
Index: 1698, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.2491062581539154
Index: 1721, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.08273366838693619
Index: 1747, Salutary Label: 7, Ground Truth: 7, Influence Score: 1.4061557749300846e-06
Index: 1755, Salutary Label: 5, Ground Truth: 5, Influence Score: 8269.193359375
Index: 1787, Salutary Label: 7, Ground Truth: 7, Influence Score: 78753.46875
Index: 1797, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.00011086453014286235
Index: 1809, Salutary Label: 9, Ground Truth: 9, Influence Score: 14767.404296875
Index: 1811, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.22343134880065918
Index: 1868, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.009919924661517143
Index: 1878, Salutary Label: 8, Ground Truth: 8, Influence Score: 1342958.625
Index: 1891, Salutary Label: 1, Ground Truth: 1, Influence Score: 1.8743932247161865
Index: 1919, Salutary Label: 9, Ground Truth: 9, Influence Score: 2675.9619140625
Index: 1929, Salutary Label: 9, Ground Truth: 2, Influence Score: 363402.0
Index: 1937, Salutary Label: 7, Ground Truth: 4, Influence Score: 10970.22265625
Index: 1943, Salutary Label: 3, Ground Truth: 3, Influence Score: 1368018.0
Index: 1968, Salutary Label: 8, Ground Truth: 8, Influence Score: 2366.06494140625
Index: 1977, Salutary Label: 7, Ground Truth: 4, Influence Score: 909339.125
Index: 1983, Salutary Label: 3, Ground Truth: 6, Influence Score: 1473537.0
Index: 2000, Salutary Label: 0, Ground Truth: 0, Influence Score: 396.80535888671875
Index: 2017, Salutary Label: 7, Ground Truth: 4, Influence Score: 1319821.125
Index: 2037, Salutary Label: 7, Ground Truth: 7, Influence Score: 119300.8203125
Index: 2065, Salutary Label: 5, Ground Truth: 6, Influence Score: 307255.875
Index: 2079, Salutary Label: 9, Ground Truth: 9, Influence Score: 1267218.5
Index: 2097, Salutary Label: 7, Ground Truth: 7, Influence Score: 47.62213134765625
Index: 2100, Salutary Label: 0, Ground Truth: 0, Influence Score: 350205.5625
Index: 2111, Salutary Label: 1, Ground Truth: 1, Influence Score: 707.322265625
Index: 2120, Salutary Label: 0, Ground Truth: 0, Influence Score: 9.004037857055664
Index: 2157, Salutary Label: 7, Ground Truth: 7, Influence Score: 255506.171875
Index: 2189, Salutary Label: 9, Ground Truth: 9, Influence Score: 145796.125
Index: 2198, Salutary Label: 8, Ground Truth: 8, Influence Score: 1815598.0
Index: 2209, Salutary Label: 9, Ground Truth: 3, Influence Score: 1788853.0
Index: 2211, Salutary Label: 1, Ground Truth: 1, Influence Score: 1.173975851997966e-05
Index: 2221, Salutary Label: 1, Ground Truth: 1, Influence Score: 8.379812240600586
Index: 2231, Salutary Label: 1, Ground Truth: 1, Influence Score: 13.163115501403809
Index: 2250, Salutary Label: 0, Ground Truth: 0, Influence Score: 3091.770263671875
Index: 2299, Salutary Label: 9, Ground Truth: 9, Influence Score: 18323.271484375
Index: 2317, Salutary Label: 7, Ground Truth: 7, Influence Score: 170.30458068847656
Index: 2329, Salutary Label: 9, Ground Truth: 1, Influence Score: 876420.0
Index: 2349, Salutary Label: 9, Ground Truth: 9, Influence Score: 66085.5703125
Index: 2360, Salutary Label: 0, Ground Truth: 0, Influence Score: 3.684352122945711e-06
Index: 2379, Salutary Label: 9, Ground Truth: 9, Influence Score: 671313.1875
Index: 2409, Salutary Label: 9, Ground Truth: 9, Influence Score: 186684.203125
Index: 2419, Salutary Label: 9, Ground Truth: 9, Influence Score: 1601735.0
Index: 2423, Salutary Label: 3, Ground Truth: 5, Influence Score: 16616.84375
Index: 2438, Salutary Label: 8, Ground Truth: 8, Influence Score: 1225.7362060546875
Index: 2449, Salutary Label: 9, Ground Truth: 3, Influence Score: 542724.5
Index: 2479, Salutary Label: 9, Ground Truth: 9, Influence Score: 21.870349884033203
Index: 2488, Salutary Label: 8, Ground Truth: 8, Influence Score: 24.99968719482422
Index: 2503, Salutary Label: 3, Ground Truth: 3, Influence Score: 1908713.25
Index: 2541, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.005280429031699896
Index: 2588, Salutary Label: 8, Ground Truth: 8, Influence Score: 43.72279357910156
Index: 2598, Salutary Label: 8, Ground Truth: 8, Influence Score: 1680.015869140625
Index: 2609, Salutary Label: 9, Ground Truth: 9, Influence Score: 43270.83203125
Index: 2617, Salutary Label: 7, Ground Truth: 7, Influence Score: 5436.0029296875
Index: 2628, Salutary Label: 8, Ground Truth: 8, Influence Score: -0.022943302989006042
Index: 2631, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.015249568969011307
Index: 2688, Salutary Label: 8, Ground Truth: 8, Influence Score: 23.78717613220215
Index: 2695, Salutary Label: 5, Ground Truth: 5, Influence Score: -0.017968913540244102
Index: 2709, Salutary Label: 9, Ground Truth: 9, Influence Score: 941.835205078125
Index: 2738, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.005913970060646534
Index: 2749, Salutary Label: 9, Ground Truth: 9, Influence Score: 7397.12646484375
Index: 2751, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.05340838432312012
Index: 2771, Salutary Label: 1, Ground Truth: 1, Influence Score: 43.44469451904297
Index: 2797, Salutary Label: 7, Ground Truth: 7, Influence Score: 177.86839294433594
Index: 2805, Salutary Label: 5, Ground Truth: 3, Influence Score: 1030539.25
Index: 2839, Salutary Label: 9, Ground Truth: 9, Influence Score: 30400.38671875
Index: 2849, Salutary Label: 9, Ground Truth: 2, Influence Score: 1202149.5
Index: 2879, Salutary Label: 9, Ground Truth: 9, Influence Score: 169443.921875
Index: 2910, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.06533297151327133
Index: 2944, Salutary Label: 4, Ground Truth: 4, Influence Score: 1074538.5
Index: 2977, Salutary Label: 7, Ground Truth: 4, Influence Score: 26.503786087036133
Index: 3007, Salutary Label: 7, Ground Truth: 7, Influence Score: 10.347771644592285
Index: 3038, Salutary Label: 8, Ground Truth: 8, Influence Score: 27.45476722717285
Index: 3057, Salutary Label: 7, Ground Truth: 7, Influence Score: 437.3120422363281
Index: 3077, Salutary Label: 7, Ground Truth: 5, Influence Score: 31490.328125
Index: 3081, Salutary Label: 1, Ground Truth: 1, Influence Score: -2.9865201213397086e-05
Index: 3091, Salutary Label: 1, Ground Truth: 9, Influence Score: 51.596527099609375
Index: 3111, Salutary Label: 1, Ground Truth: 1, Influence Score: 361.01873779296875
Index: 3130, Salutary Label: 0, Ground Truth: 0, Influence Score: 14.493908882141113
Index: 3149, Salutary Label: 9, Ground Truth: 9, Influence Score: 6573.7978515625
Index: 3158, Salutary Label: 8, Ground Truth: 8, Influence Score: 44803.1953125
Index: 3179, Salutary Label: 9, Ground Truth: 9, Influence Score: 99504.0
Index: 3201, Salutary Label: 1, Ground Truth: 1, Influence Score: 161.72547912597656
Index: 3219, Salutary Label: 9, Ground Truth: 5, Influence Score: 1366212.0
Index: 3228, Salutary Label: 8, Ground Truth: 8, Influence Score: 1383.8743896484375
Index: 3231, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.06889741122722626
Index: 3254, Salutary Label: 4, Ground Truth: 2, Influence Score: 61690.4296875
Index: 3261, Salutary Label: 1, Ground Truth: 9, Influence Score: 1209.300048828125
Index: 3358, Salutary Label: 8, Ground Truth: 8, Influence Score: 2.752988576889038
Index: 3373, Salutary Label: 3, Ground Truth: 3, Influence Score: 1527773.875
Index: 3401, Salutary Label: 1, Ground Truth: 9, Influence Score: 157.8917236328125
Index: 3411, Salutary Label: 1, Ground Truth: 1, Influence Score: 827.671875
Index: 3465, Salutary Label: 5, Ground Truth: 2, Influence Score: 2630.470703125
Index: 3481, Salutary Label: 1, Ground Truth: 1, Influence Score: 22.202281951904297
Index: 3518, Salutary Label: 8, Ground Truth: 8, Influence Score: 2.297644853591919
Index: 3569, Salutary Label: 9, Ground Truth: 9, Influence Score: 468989.875
Index: 3588, Salutary Label: 8, Ground Truth: 8, Influence Score: 1112.3388671875
Index: 3593, Salutary Label: 3, Ground Truth: 4, Influence Score: 398843.3125
Index: 3605, Salutary Label: 5, Ground Truth: 5, Influence Score: 10.7315673828125
Index: 3617, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.10447777807712555
Index: 3629, Salutary Label: 9, Ground Truth: 9, Influence Score: 57684.69921875
Index: 3635, Salutary Label: 5, Ground Truth: 5, Influence Score: 253.63739013671875
Index: 3649, Salutary Label: 9, Ground Truth: 9, Influence Score: 81797.578125
Index: 3650, Salutary Label: 0, Ground Truth: 0, Influence Score: 166.26177978515625
Index: 3668, Salutary Label: 8, Ground Truth: 0, Influence Score: 131.13551330566406
Index: 3674, Salutary Label: 4, Ground Truth: 4, Influence Score: 2509.9375
Index: 3699, Salutary Label: 9, Ground Truth: 9, Influence Score: 225571.75
Index: 3701, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.29340770840644836
Index: 3728, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.07129833102226257
Index: 3758, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.08581594377756119
Index: 3788, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.32406312227249146
Index: 3791, Salutary Label: 1, Ground Truth: 1, Influence Score: 3725.06640625
Index: 3819, Salutary Label: 9, Ground Truth: 1, Influence Score: 114835.0
Index: 3820, Salutary Label: 0, Ground Truth: 0, Influence Score: 8272.5537109375
Index: 3878, Salutary Label: 8, Ground Truth: 8, Influence Score: 57194.0703125
Index: 3899, Salutary Label: 9, Ground Truth: 9, Influence Score: 7846.64306640625
Index: 3907, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.001573881134390831
Index: 3944, Salutary Label: 4, Ground Truth: 4, Influence Score: 21.856555938720703
Index: 3967, Salutary Label: 7, Ground Truth: 7, Influence Score: 5677.01513671875
Index: 3998, Salutary Label: 8, Ground Truth: 8, Influence Score: 47.934814453125
Index: 4009, Salutary Label: 9, Ground Truth: 9, Influence Score: 268452.6875
Index: 4018, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.0007720263674855232
Index: 4035, Salutary Label: 5, Ground Truth: 5, Influence Score: -0.00040962599450722337
Index: 4049, Salutary Label: 9, Ground Truth: 9, Influence Score: 310833.90625
Index: 4067, Salutary Label: 7, Ground Truth: 2, Influence Score: 1295345.5
Index: 4078, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.008436156436800957
Index: 4097, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.09796392917633057
Index: 4116, Salutary Label: 6, Ground Truth: 6, Influence Score: 930.9645385742188
Index: 4159, Salutary Label: 9, Ground Truth: 9, Influence Score: 1448083.75
Index: 4168, Salutary Label: 8, Ground Truth: 8, Influence Score: 2691.69384765625
Index: 4175, Salutary Label: 5, Ground Truth: 3, Influence Score: 424090.25
Index: 4181, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.0038752055261284113
Index: 4218, Salutary Label: 8, Ground Truth: 8, Influence Score: 1263.7166748046875
Index: 4228, Salutary Label: 8, Ground Truth: 4, Influence Score: 371519.875
Index: 4261, Salutary Label: 1, Ground Truth: 1, Influence Score: 14.194339752197266
Index: 4285, Salutary Label: 5, Ground Truth: 2, Influence Score: 1393790.125
Index: 4308, Salutary Label: 8, Ground Truth: 8, Influence Score: 1044.8013916015625
Index: 4361, Salutary Label: 1, Ground Truth: 1, Influence Score: 97.43055725097656
Index: 4373, Salutary Label: 3, Ground Truth: 5, Influence Score: 1042922.9375
Index: 4385, Salutary Label: 5, Ground Truth: 3, Influence Score: 580259.625
Index: 4391, Salutary Label: 1, Ground Truth: 1, Influence Score: 1.0494279194972478e-05
Index: 4417, Salutary Label: 7, Ground Truth: 7, Influence Score: 877.20703125
Index: 4437, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.008403337560594082
Index: 4449, Salutary Label: 9, Ground Truth: 6, Influence Score: 1733295.25
Index: 4477, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.001876716036349535
Index: 4501, Salutary Label: 1, Ground Truth: 1, Influence Score: 126697.5859375
Index: 4521, Salutary Label: 1, Ground Truth: 1, Influence Score: 153.3953857421875
Index: 4559, Salutary Label: 9, Ground Truth: 2, Influence Score: 1728245.25
Index: 4678, Salutary Label: 8, Ground Truth: 8, Influence Score: -0.0177549347281456
Index: 4719, Salutary Label: 9, Ground Truth: 1, Influence Score: 607000.125
Index: 4729, Salutary Label: 9, Ground Truth: 9, Influence Score: 2094.990478515625
Index: 4730, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.273759663105011
Index: 4767, Salutary Label: 7, Ground Truth: 7, Influence Score: 200351.6875
Index: 4771, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.05791672319173813
Index: 4788, Salutary Label: 8, Ground Truth: 8, Influence Score: -0.051722899079322815
Index: 4807, Salutary Label: 7, Ground Truth: 7, Influence Score: 2.892267184506636e-05
Index: 4820, Salutary Label: 0, Ground Truth: 0, Influence Score: 71576.25
Index: 4853, Salutary Label: 3, Ground Truth: 0, Influence Score: 1121526.75
Index: 4871, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.17013511061668396
Index: 4889, Salutary Label: 9, Ground Truth: 6, Influence Score: 527340.875
Index: 4893, Salutary Label: 3, Ground Truth: 0, Influence Score: 1229749.75
Index: 4905, Salutary Label: 5, Ground Truth: 5, Influence Score: 1005876.9375
Index: 4929, Salutary Label: 9, Ground Truth: 9, Influence Score: 795833.375
Index: 4931, Salutary Label: 1, Ground Truth: 8, Influence Score: 512992.25
Index: 5005, Salutary Label: 5, Ground Truth: 5, Influence Score: 62231.1015625
Index: 5076, Salutary Label: 6, Ground Truth: 6, Influence Score: 7652.87646484375
Index: 5088, Salutary Label: 8, Ground Truth: 4, Influence Score: 59248.0
Index: 5099, Salutary Label: 9, Ground Truth: 9, Influence Score: 7608.3505859375
Index: 5108, Salutary Label: 8, Ground Truth: 8, Influence Score: 9.348082542419434
Index: 5135, Salutary Label: 5, Ground Truth: 5, Influence Score: 2.8848884105682373
Index: 5221, Salutary Label: 1, Ground Truth: 1, Influence Score: -9.884162864182144e-06
Index: 5237, Salutary Label: 7, Ground Truth: 5, Influence Score: 644.7005615234375
Index: 5247, Salutary Label: 7, Ground Truth: 7, Influence Score: 2056.617919921875
Index: 5295, Salutary Label: 5, Ground Truth: 4, Influence Score: 1329531.25
Index: 5301, Salutary Label: 1, Ground Truth: 1, Influence Score: 137.09161376953125
Index: 5327, Salutary Label: 7, Ground Truth: 7, Influence Score: 1217584.25
Index: 5355, Salutary Label: 5, Ground Truth: 7, Influence Score: 224258.65625
Index: 5370, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.012441196478903294
Index: 5388, Salutary Label: 8, Ground Truth: 8, Influence Score: 2803.55322265625
Index: 5439, Salutary Label: 9, Ground Truth: 8, Influence Score: 330017.5
Index: 5449, Salutary Label: 9, Ground Truth: 9, Influence Score: 395881.75
Index: 5457, Salutary Label: 7, Ground Truth: 7, Influence Score: 23682.3359375
Index: 5466, Salutary Label: 6, Ground Truth: 6, Influence Score: 157.1459197998047
Index: 5471, Salutary Label: 1, Ground Truth: 1, Influence Score: 1277.540771484375
Index: 5488, Salutary Label: 8, Ground Truth: 8, Influence Score: 1.2729082107543945
Index: 5509, Salutary Label: 9, Ground Truth: 0, Influence Score: 596883.0
Index: 5529, Salutary Label: 9, Ground Truth: 9, Influence Score: 0.005465922877192497
Index: 5571, Salutary Label: 1, Ground Truth: 1, Influence Score: 669162.375
Index: 5580, Salutary Label: 0, Ground Truth: 0, Influence Score: 1429.47900390625
Index: 5599, Salutary Label: 9, Ground Truth: 9, Influence Score: 69664.4921875
Index: 5610, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.0035812233109027147
Index: 5624, Salutary Label: 4, Ground Truth: 4, Influence Score: 151457.484375
Index: 5637, Salutary Label: 7, Ground Truth: 7, Influence Score: 6459.029296875
Index: 5649, Salutary Label: 9, Ground Truth: 9, Influence Score: 5705.2783203125
Index: 5669, Salutary Label: 9, Ground Truth: 5, Influence Score: 1506961.5
Index: 5689, Salutary Label: 9, Ground Truth: 1, Influence Score: 1797688.0
Index: 5705, Salutary Label: 5, Ground Truth: 5, Influence Score: 339.1338195800781
Index: 5711, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.01336692739278078
Index: 5747, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.018408283591270447
Index: 5785, Salutary Label: 5, Ground Truth: 5, Influence Score: 69792.390625
Index: 5841, Salutary Label: 1, Ground Truth: 1, Influence Score: 5732.685546875
Index: 5857, Salutary Label: 7, Ground Truth: 7, Influence Score: 76.16067504882812
Index: 5861, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.004610307514667511
Index: 5879, Salutary Label: 9, Ground Truth: 8, Influence Score: 1568129.0
Index: 5887, Salutary Label: 7, Ground Truth: 7, Influence Score: 1180.7347412109375
Index: 5908, Salutary Label: 8, Ground Truth: 0, Influence Score: 1870523.0
Index: 5928, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.028705772012472153
Index: 5968, Salutary Label: 8, Ground Truth: 8, Influence Score: 11.210308074951172
Index: 5993, Salutary Label: 3, Ground Truth: 8, Influence Score: 1520534.0
Index: 6010, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.008244626224040985
Index: 6055, Salutary Label: 5, Ground Truth: 5, Influence Score: 74389.6953125
Index: 6068, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.010215086862444878
Index: 6087, Salutary Label: 7, Ground Truth: 4, Influence Score: 868505.125
Index: 6149, Salutary Label: 9, Ground Truth: 9, Influence Score: 186.87388610839844
Index: 6207, Salutary Label: 7, Ground Truth: 7, Influence Score: 3.248094081878662
Index: 6211, Salutary Label: 1, Ground Truth: 9, Influence Score: 1029.569580078125
Index: 6225, Salutary Label: 5, Ground Truth: 7, Influence Score: 141281.578125
Index: 6271, Salutary Label: 1, Ground Truth: 1, Influence Score: 54.09679412841797
Index: 6281, Salutary Label: 1, Ground Truth: 1, Influence Score: 8.785715103149414
Index: 6298, Salutary Label: 8, Ground Truth: 8, Influence Score: 4900.556640625
Index: 6319, Salutary Label: 9, Ground Truth: 9, Influence Score: 5838.88916015625
Index: 6359, Salutary Label: 9, Ground Truth: 9, Influence Score: 1294.30810546875
Index: 6368, Salutary Label: 8, Ground Truth: 8, Influence Score: 1156.507568359375
Index: 6395, Salutary Label: 5, Ground Truth: 5, Influence Score: 1472344.25
Index: 6401, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.00048617314314469695
Index: 6417, Salutary Label: 7, Ground Truth: 7, Influence Score: 1.4711697076563723e-05
Index: 6428, Salutary Label: 8, Ground Truth: 8, Influence Score: 1.4841750860214233
Index: 6441, Salutary Label: 1, Ground Truth: 1, Influence Score: 4719.2294921875
Index: 6457, Salutary Label: 7, Ground Truth: 7, Influence Score: 153.30413818359375
Index: 6471, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.000667241751216352
Index: 6485, Salutary Label: 5, Ground Truth: 3, Influence Score: 26567.8828125
Index: 6491, Salutary Label: 1, Ground Truth: 1, Influence Score: 535.1716918945312
Index: 6523, Salutary Label: 3, Ground Truth: 5, Influence Score: 725154.5625
Index: 6539, Salutary Label: 9, Ground Truth: 7, Influence Score: 1575370.5
Index: 6544, Salutary Label: 4, Ground Truth: 4, Influence Score: 495.69927978515625
Index: 6569, Salutary Label: 9, Ground Truth: 9, Influence Score: 614.1597290039062
Index: 6575, Salutary Label: 5, Ground Truth: 3, Influence Score: 3411.490234375
Index: 6580, Salutary Label: 0, Ground Truth: 0, Influence Score: 2.84805965423584
Index: 6599, Salutary Label: 9, Ground Truth: 9, Influence Score: 1219192.5
Index: 6623, Salutary Label: 3, Ground Truth: 2, Influence Score: 1269349.875
Index: 6661, Salutary Label: 1, Ground Truth: 1, Influence Score: 4.589780330657959
Index: 6674, Salutary Label: 4, Ground Truth: 4, Influence Score: 0.02284051477909088
Index: 6698, Salutary Label: 8, Ground Truth: 8, Influence Score: 49951.40625
Index: 6755, Salutary Label: 5, Ground Truth: 5, Influence Score: 55.21109390258789
Index: 6767, Salutary Label: 7, Ground Truth: 7, Influence Score: 245795.546875
Index: 6797, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.260517418384552
Index: 6801, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.02278667688369751
Index: 6817, Salutary Label: 7, Ground Truth: 4, Influence Score: 24086.486328125
Index: 6838, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.4108778238296509
Index: 6846, Salutary Label: 6, Ground Truth: 6, Influence Score: 586.639404296875
Index: 6880, Salutary Label: 0, Ground Truth: 0, Influence Score: 11.224868774414062
Index: 6909, Salutary Label: 9, Ground Truth: 8, Influence Score: 766109.5
Index: 6928, Salutary Label: 8, Ground Truth: 8, Influence Score: 49.34649658203125
Index: 6939, Salutary Label: 9, Ground Truth: 7, Influence Score: 1419941.25
Index: 6957, Salutary Label: 7, Ground Truth: 7, Influence Score: 709.0599975585938
Index: 6961, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.5321748852729797
Index: 6977, Salutary Label: 7, Ground Truth: 7, Influence Score: 1.0652321691395628e-07
Index: 6993, Salutary Label: 3, Ground Truth: 2, Influence Score: 1876210.75
Index: 7003, Salutary Label: 3, Ground Truth: 6, Influence Score: 1850851.875
Index: 7015, Salutary Label: 5, Ground Truth: 3, Influence Score: 106557.84375
Index: 7027, Salutary Label: 7, Ground Truth: 4, Influence Score: 2.152925729751587
Index: 7078, Salutary Label: 8, Ground Truth: 8, Influence Score: -0.005555666983127594
Index: 7099, Salutary Label: 9, Ground Truth: 9, Influence Score: 1682308.0
Index: 7118, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.022067327052354813
